Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
10-instance-1, 10, 0, 0.002,0.004,0,11,0,0,0,1,
10-instance-2, 10, 2, 0.001,0.004,0.086,10,2,1,0.5,0.485,
10-instance-3, 10, 0, 0,0.002,0,11,0,0,0,1,
10-instance-4, 10, 0, 0.001,0.001,0,11,0,0,0,1,
10-instance-5, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-6, 10, 4, 0.001,0.003,0.062,10,4,1,0.25,0.225,
10-instance-7, 10, 0, 0.001,0.003,0,11,0,0,0,1,
10-instance-8, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-9, 10, 4, 0.014,0.012,0.621,8,4,1,0.5,0.48,
10-instance-10, 10, 0, 0,0.001,0,11,0,0,0,1,
10-instance-11, 10, 3, 0,0.004,0.055,10,3,1,0.333333,0.265,
10-instance-12, 10, 0, 0.001,0.001,0,11,0,0,0,1,
10-instance-13, 10, 3, 0.001,0.002,0.057,10,3,1,0.333333,0.32,
10-instance-14, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-15, 10, 0, 0,0.004,0,11,0,0,0,1,
10-instance-16, 10, 0, 0.001,0.005,0,11,0,0,0,1,
10-instance-17, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-18, 10, 5, 0.002,0.005,0.08,10,5,1,0.2,0.18,
10-instance-19, 10, 2, 0,0.003,0.115,10,2,1,0.5,0.48,
10-instance-20, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-21, 10, 0, 0,0.002,0,11,0,0,0,1,
10-instance-22, 10, 4, 0.002,0.003,0.394,8,3,1,0.5,0.315,
10-instance-23, 10, 2, 0.001,0.002,0.058,10,2,1,0.5,0.485,
10-instance-24, 10, 2, 0.001,0.004,0.094,10,2,1,0.5,0.48,
10-instance-25, 10, 4, 0.002,0.015,0.169,9,6,1,0.5,0.425,
10-instance-26, 10, 0, 0.001,0.001,0,11,0,0,0,1,
10-instance-27, 10, 4, 0,0.003,0.08,9,4,1,0.5,0.46,
10-instance-28, 10, 7, 0.001,0.004,0.179,7,8,1,0.428571,0.235,
10-instance-29, 10, 2, 0.001,0.003,0.054,10,2,1,0.5,0.475,
10-instance-30, 10, 0, 0.001,0.001,0,11,0,0,0,1,
10-instance-31, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-32, 10, 0, 0.001,0.001,0,11,0,0,0,1,
10-instance-33, 10, 0, 0.001,0.001,0,11,0,0,0,1,
10-instance-34, 10, 2, 0.001,0.009,0.166,10,2,1,0.5,0.495,
10-instance-35, 10, 0, 0.001,0.004,0,11,0,0,0,1,
10-instance-36, 10, 4, 0.008,0.019,0.192,10,4,1,0.25,0.225,
10-instance-37, 10, 2, 0.001,0.002,0.094,10,2,1,0.5,0.475,
10-instance-38, 10, 2, 0.001,0.003,0.055,10,2,1,0.5,0.455,
10-instance-39, 10, 2, 0.001,0.003,0.056,10,2,1,0.5,0.48,
10-instance-40, 10, 3, 0.002,0.003,0.104,10,3,1,0.333333,0.305,
10-instance-41, 10, 3, 0.007,0.036,0.583,10,3,1,0.666667,0.625,
10-instance-42, 10, 0, 0.001,0.001,0,11,0,0,0,1,
10-instance-43, 10, 2, 0.001,0.004,0.127,10,2,1,0.5,0.48,
10-instance-44, 10, 2, 0.002,0.004,0.092,10,2,1,0.5,0.455,
10-instance-45, 10, 0, 0,0.002,0,11,0,0,0,1,
10-instance-46, 10, 0, 0.007,0.023,0,11,0,0,0,1,
10-instance-47, 10, 0, 0.001,0.001,0,11,0,0,0,1,
10-instance-48, 10, 0, 0,0.003,0,11,0,0,0,1,
10-instance-49, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-50, 10, 3, 0.001,0.004,0.103,10,3,1,0.333333,0.285,
20-instance-1, 20, 6, 0.01,0.062,1.501,17,10,1,0.5,0.4,
20-instance-2, 20, 0, 0.001,0.008,0,21,0,0,0,1,
20-instance-3, 20, 0, 0.008,0.138,0,21,0,0,0,1,
20-instance-4, 20, 4, 0.003,0.006,0.457,18,4,1,0.5,0.465,
20-instance-5, 20, 0, 0,0.006,0,21,0,0,0,1,
20-instance-6, 20, 7, 0.009,0.093,1.397,18,11,1,0.285714,0.155,
