Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
10-instance-1, 10, 0, 0.002,0.004,0,11,0,0,0,1,
10-instance-2, 10, 2, 0.001,0.005,0.551,10,2,0.49927,0.5,0.473,
10-instance-3, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-4, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-5, 10, 0, 0.002,0.003,0,11,0,0,0,1,
10-instance-6, 10, 4, 0.001,0.005,0.615,10,4,0.249405,0.25,0.233,
10-instance-7, 10, 0, 0,0.008,0,11,0,0,0,1,
10-instance-8, 10, 0, 0.001,0.004,0,11,0,0,0,1,
10-instance-9, 10, 4, 0.014,0.018,4.113,8,4,0.499807,0.5,0.481,
10-instance-10, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-11, 10, 3, 0.001,0.004,0.397,10,3,0.332953,0.333333,0.314,
10-instance-12, 10, 0, 0,0.001,0,11,0,0,0,1,
10-instance-13, 10, 3, 0.001,0.002,0.333,10,3,0.333303,0.333333,0.328,
10-instance-14, 10, 0, 0.001,0.001,0,11,0,0,0,1,
10-instance-15, 10, 0, 0,0.004,0,11,0,0,0,1,
10-instance-16, 10, 0, 0.001,0.009,0,11,0,0,0,1,
10-instance-17, 10, 0, 0.001,0.004,0,11,0,0,0,1,
10-instance-18, 10, 5, 0.001,0.004,0.436,10,5,0.199465,0.2,0.177,
10-instance-19, 10, 2, 0.001,0.009,0.539,10,2,0.499856,0.5,0.488,
10-instance-20, 10, 0, 0.001,0.004,0,11,0,0,0,1,
10-instance-21, 10, 0, 0.001,0.003,0,11,0,0,0,1,
10-instance-22, 10, 4, 0,0.004,1.713,8,3,0.482929,0.5,0.36,
10-instance-23, 10, 2, 0,0.003,0.395,10,2,0.499775,0.5,0.485,
10-instance-24, 10, 2, 0.001,0.004,0.468,10,2,0.499951,0.5,0.493,
10-instance-25, 10, 4, 0.002,0.012,0.827,9,6,0.498848,0.5,0.443,
10-instance-26, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-27, 10, 4, 0,0.003,0.553,9,4,0.499852,0.5,0.486,
10-instance-28, 10, 7, 0.001,0.005,1.035,7,8,0.402256,0.428571,0.25,
10-instance-29, 10, 2, 0.001,0.003,0.351,10,2,0.499964,0.5,0.494,
10-instance-30, 10, 0, 0,0.002,0,11,0,0,0,1,
10-instance-31, 10, 0, 0,0.003,0,11,0,0,0,1,
10-instance-32, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-33, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-34, 10, 2, 0.002,0.013,0.918,10,2,0.499879,0.5,0.489,
10-instance-35, 10, 0, 0,0.004,0,11,0,0,0,1,
10-instance-36, 10, 4, 0.008,0.02,1.078,10,4,0.249944,0.25,0.241,
10-instance-37, 10, 2, 0.001,0.002,0.441,10,2,0.499831,0.5,0.487,
10-instance-38, 10, 2, 0.001,0.002,0.28,10,2,0.499775,0.5,0.485,
10-instance-39, 10, 2, 0.001,0.002,0.406,10,2,0.499879,0.5,0.489,
10-instance-40, 10, 3, 0.001,0.003,0.43,10,3,0.33322,0.333333,0.322,
10-instance-41, 10, 3, 0.008,0.031,3.437,10,3,0.666619,0.666667,0.656,
10-instance-42, 10, 0, 0.001,0.001,0,11,0,0,0,1,
10-instance-43, 10, 2, 0.001,0.003,0.509,10,2,0.499991,0.5,0.497,
10-instance-44, 10, 2, 0.001,0.004,0.56,10,2,0.499936,0.5,0.492,
10-instance-45, 10, 0, 0.001,0.001,0,11,0,0,0,1,
10-instance-46, 10, 0, 0.006,0.023,0,11,0,0,0,1,
10-instance-47, 10, 0, 0,0.002,0,11,0,0,0,1,
10-instance-48, 10, 0, 0.001,0.004,0,11,0,0,0,1,
10-instance-49, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-50, 10, 3, 0.001,0.003,0.385,10,3,0.332734,0.333333,0.306,
20-instance-1, 20, 6, 0.007,0.062,7.287,17,10,0.495209,0.5,0.416,
20-instance-2, 20, 0, 0.001,0.008,0,21,0,0,0,1,
20-instance-3, 20, 0, 0.009,0.131,0,21,0,0,0,1,
20-instance-4, 20, 4, 0.002,0.004,2.053,18,4,0.499851,0.5,0.483,
20-instance-5, 20, 0, 0.001,0.005,0,21,0,0,0,1,
20-instance-6, 20, 7, 0.009,0.084,6.753,18,11,0.252501,0.285714,0.166,
20-instance-7, 20, 8, 0.003,0.009,4.36,18,13,0.336028,0.375,0.157,
20-instance-8, 20, 8, 0.009,0.1,7.868,20,8,0.124561,0.125,0.114,
20-instance-9, 20, 9, 0.003,0.05,6.171,16,13,0.495018,0.555556,0.2,
20-instance-10, 20, 2, 0.002,0.011,0.781,20,2,0.499744,0.5,0.484,
20-instance-11, 20, 2, 0,0.004,0.285,20,2,0.499559,0.5,0.479,
20-instance-12, 20, 8, 0.001,0.005,0.416,18,6,0.207978,0.25,0.136,
