Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
10-instance-1, 10, 0, 0.002,0.003,0,11,0,0,0,1,
10-instance-2, 10, 2, 0.001,0.006,0.023,10,2,0.5,0.5,0.5,
10-instance-3, 10, 0, 0.001,0.003,0,11,0,0,0,1,
10-instance-4, 10, 0, 0.001,0.003,0,11,0,0,0,1,
10-instance-5, 10, 0, 0.001,0.003,0,11,0,0,0,1,
10-instance-6, 10, 4, 0.001,0.007,0.034,10,4,0.25,0.25,0.25,
10-instance-7, 10, 0, 0.001,0.004,0,11,0,0,0,1,
10-instance-8, 10, 0, 0.002,0.005,0,11,0,0,0,1,
10-instance-9, 10, 4, 0.119,0.016,0.068,8,4,0.5,0.5,0.5,
10-instance-10, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-11, 10, 3, 0.001,0.004,0.029,10,3,0.333333,0.333333,0.333333,
10-instance-12, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-13, 10, 3, 0.001,0.005,0.028,10,3,0.333333,0.333333,0.333333,
10-instance-14, 10, 0, 0.001,0.003,0,11,0,0,0,1,
10-instance-15, 10, 0, 0.001,0.004,0,11,0,0,0,1,
10-instance-16, 10, 0, 0.001,0.011,0,11,0,0,0,1,
10-instance-17, 10, 0, 0.001,0.004,0,11,0,0,0,1,
10-instance-18, 10, 5, 0.001,0.006,0.13,10,5,0.2,0.2,0.2,
10-instance-19, 10, 2, 0.002,0.006,0.026,10,2,0.5,0.5,0.5,
10-instance-20, 10, 0, 0.001,0.004,0,11,0,0,0,1,
10-instance-21, 10, 0, 0,0.003,0,11,0,0,0,1,
10-instance-22, 10, 4, 0.001,0.004,0.04,8,3,0.484123,0.5,0.375,
10-instance-23, 10, 2, 0.001,0.004,0.029,10,2,0.5,0.5,0.5,
10-instance-24, 10, 2, 0.001,0.006,0.023,10,2,0.5,0.5,0.5,
10-instance-25, 10, 4, 0.002,0.014,0.033,9,6,0.5,0.5,0.5,
10-instance-26, 10, 0, 0.002,0.001,0,11,0,0,0,1,
10-instance-27, 10, 4, 0.001,0.004,0.019,9,4,0.5,0.5,0.5,
10-instance-28, 10, 7, 0.001,0.004,3.489,7,8,0.401528,0.428571,0.263492,
10-instance-29, 10, 2, 0.001,0.002,0.014,10,2,0.5,0.5,0.5,
10-instance-30, 10, 0, 0.001,0.001,0,11,0,0,0,1,
10-instance-31, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-32, 10, 0, 0.001,0.001,0,11,0,0,0,1,
10-instance-33, 10, 0, 0,0.002,0,11,0,0,0,1,
10-instance-34, 10, 2, 0.001,0.007,0.01,10,2,0.5,0.5,0.5,
10-instance-35, 10, 0, 0.001,0.003,0,11,0,0,0,1,
10-instance-36, 10, 4, 0.007,0.015,0.035,10,4,0.25,0.25,0.25,
10-instance-37, 10, 2, 0.001,0.002,0.009,10,2,0.5,0.5,0.5,
10-instance-38, 10, 2, 0.001,0.002,0.009,10,2,0.5,0.5,0.5,
10-instance-39, 10, 2, 0.001,0.003,0.013,10,2,0.5,0.5,0.5,
10-instance-40, 10, 3, 0.001,0.005,0.017,10,3,0.333333,0.333333,0.333333,
10-instance-41, 10, 3, 0.007,0.025,0.057,10,3,0.666667,0.666667,0.666667,
10-instance-42, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-43, 10, 2, 0.001,0.003,0.01,10,2,0.5,0.5,0.5,
10-instance-44, 10, 2, 0.001,0.007,0.01,10,2,0.5,0.5,0.5,
10-instance-45, 10, 0, 0,0.002,0,11,0,0,0,1,
10-instance-46, 10, 0, 0.007,0.023,0,11,0,0,0,1,
10-instance-47, 10, 0, 0,0.002,0,11,0,0,0,1,
10-instance-48, 10, 0, 0.001,0.004,0,11,0,0,0,1,
10-instance-49, 10, 0, 0.001,0.003,0,11,0,0,0,1,
10-instance-50, 10, 3, 0.001,0.002,0.012,10,3,0.333333,0.333333,0.333333,
20-instance-1, 20, 6, 0.008,0.067,2.832,17,720,0.495327,0.5,0.416667,
20-instance-2, 20, 0, 0.001,0.008,0,21,0,0,0,1,
20-instance-3, 20, 0, 0.009,0.137,0,21,0,0,0,1,
20-instance-4, 20, 4, 0.002,0.005,0.039,18,4,0.5,0.5,0.5,
20-instance-5, 20, 0, 0.001,0.005,0,21,0,0,0,1,
20-instance-6, 20, 7, 0.008,0.082,12.729,18,5040,0.254311,0.285714,0.190476,
20-instance-7, 20, 8, 0.003,0.011,35.694,18,13,0.340327,0.375,0.197024,
20-instance-8, 20, 8, 0.008,0.093,89.347,20,8,0.125,0.125,0.125,
20-instance-9, 20, 9, 0.003,0.05,6.985,16,891,0.502514,0.555556,0.252,
20-instance-10, 20, 2, 0.003,0.011,0.01,20,2,0.5,0.5,0.5,
20-instance-11, 20, 2, 0.001,0.005,0.008,20,2,0.5,0.5,0.5,
20-instance-12, 20, 8, 0.001,0.008,21.522,18,6,0.208413,0.25,0.15,
20-instance-13, 20, 9, 0.001,0.007,0.764,15,284,0.545586,0.555556,0.432,
20-instance-14, 20, 6, 0.008,0.108,1.734,19,720,0.33247,0.333333,0.3,
20-instance-15, 20, 15, 0.012,0.118,12.605,14,1000,0.498391,0.533333,0.287,
