Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
10-instance-1, 10, 0, 0.001,0.005,0,11,0,0,0,1,
10-instance-2, 10, 2, 0.001,0.004,0.019,10,2,0.5,0.5,0.5,
10-instance-3, 10, 0, 0.002,0.011,0,11,0,0,0,1,
10-instance-4, 10, 0, 0.001,0.005,0,11,0,0,0,1,
10-instance-5, 10, 0, 0.001,0.004,0,11,0,0,0,1,
10-instance-6, 10, 4, 0.001,0.005,0.049,10,4,0.25,0.25,0.25,
10-instance-7, 10, 0, 0.001,0.005,0,11,0,0,0,1,
10-instance-8, 10, 0, 0.001,0.005,0,11,0,0,0,1,
10-instance-9, 10, 4, 0.016,0.015,0.09,8,4,0.5,0.5,0.5,
10-instance-10, 10, 0, 0.001,0.003,0,11,0,0,0,1,
10-instance-11, 10, 3, 0.001,0.004,0.023,10,3,0.333333,0.333333,0.333333,
10-instance-12, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-13, 10, 3, 0.001,0.006,0.036,10,3,0.333333,0.333333,0.333333,
10-instance-14, 10, 0, 0.001,0.003,0,11,0,0,0,1,
10-instance-15, 10, 0, 0.001,0.004,0,11,0,0,0,1,
10-instance-16, 10, 0, 0.002,0.013,0,11,0,0,0,1,
10-instance-17, 10, 0, 0.001,0.005,0,11,0,0,0,1,
10-instance-18, 10, 5, 0.001,0.006,0.162,10,5,0.2,0.2,0.2,
10-instance-19, 10, 2, 0.001,0.006,0.014,10,2,0.5,0.5,0.5,
10-instance-20, 10, 0, 0,0.004,0,11,0,0,0,1,
10-instance-21, 10, 0, 0.001,0.004,0,11,0,0,0,1,
10-instance-22, 10, 4, 0.001,0.004,0.03,8,3,0.484123,0.5,0.375,
10-instance-23, 10, 2, 0.001,0.003,0.014,10,2,0.5,0.5,0.5,
10-instance-24, 10, 2, 0.001,0.007,0.026,10,2,0.5,0.5,0.5,
10-instance-25, 10, 4, 0.002,0.019,0.042,9,6,0.5,0.5,0.5,
10-instance-26, 10, 0, 0,0.002,0,11,0,0,0,1,
10-instance-27, 10, 4, 0.001,0.003,0.023,9,4,0.5,0.5,0.5,
10-instance-28, 10, 7, 0.001,0.003,4.411,7,8,0.401528,0.428571,0.263492,
10-instance-29, 10, 2, 0.001,0.003,0.01,10,2,0.5,0.5,0.5,
10-instance-30, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-31, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-32, 10, 0, 0,0.002,0,11,0,0,0,1,
10-instance-33, 10, 0, 0,0.002,0,11,0,0,0,1,
10-instance-34, 10, 2, 0.002,0.008,0.021,10,2,0.5,0.5,0.5,
10-instance-35, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-36, 10, 4, 0.007,0.017,0.045,10,4,0.25,0.25,0.25,
10-instance-37, 10, 2, 0.001,0.002,0.011,10,2,0.5,0.5,0.5,
10-instance-38, 10, 2, 0.001,0.003,0.009,10,2,0.5,0.5,0.5,
10-instance-39, 10, 2, 0.001,0.006,0.014,10,2,0.5,0.5,0.5,
10-instance-40, 10, 3, 0.001,0.005,0.014,10,3,0.333333,0.333333,0.333333,
10-instance-41, 10, 3, 0.007,0.03,0.045,10,3,0.666667,0.666667,0.666667,
10-instance-42, 10, 0, 0.001,0.001,0,11,0,0,0,1,
10-instance-43, 10, 2, 0.001,0.005,0.009,10,2,0.5,0.5,0.5,
10-instance-44, 10, 2, 0,0.005,0.009,10,2,0.5,0.5,0.5,
10-instance-45, 10, 0, 0,0.002,0,11,0,0,0,1,
10-instance-46, 10, 0, 0.006,0.025,0,11,0,0,0,1,
10-instance-47, 10, 0, 0.001,0.001,0,11,0,0,0,1,
10-instance-48, 10, 0, 0.001,0.003,0,11,0,0,0,1,
10-instance-49, 10, 0, 0,0.002,0,11,0,0,0,1,
10-instance-50, 10, 3, 0.001,0.003,0.012,10,3,0.333333,0.333333,0.333333,
20-instance-1, 20, 6, 0.007,0.066,3.422,17,720,0.495327,0.5,0.416667,
20-instance-2, 20, 0, 0,0.006,0,21,0,0,0,1,
20-instance-3, 20, 0, 0.009,0.141,0,21,0,0,0,1,
20-instance-4, 20, 4, 0.002,0.005,0.037,18,4,0.5,0.5,0.5,
20-instance-5, 20, 0, 0,0.005,0,21,0,0,0,1,
20-instance-6, 20, 7, 0.007,0.08,15.588,18,5040,0.254311,0.285714,0.190476,
20-instance-7, 20, 8, 0.002,0.011,38.278,18,13,0.340327,0.375,0.197024,
20-instance-8, 20, 8, 0.01,0.1,108.458,20,8,0.125,0.125,0.125,
20-instance-9, 20, 9, 0.003,0.044,1.299,16,177,0.499179,0.555556,0.25,
20-instance-10, 20, 2, 0.002,0.009,0.011,20,2,0.5,0.5,0.5,
20-instance-11, 20, 2, 0,0.006,0.008,20,2,0.5,0.5,0.5,
20-instance-12, 20, 8, 0.001,0.007,20.69,18,6,0.208413,0.25,0.15,
20-instance-13, 20, 9, 0.001,0.011,0.171,15,64,0.545156,0.555556,0.43,
20-instance-14, 20, 6, 0.008,0.106,1.833,19,720,0.33247,0.333333,0.3,
20-instance-15, 20, 15, 0.012,0.121,2.545,14,200,0.496479,0.533333,0.27,
20-instance-16, 20, 0, 0.01,0.094,0,21,0,0,0,1,
20-instance-17, 20, 6, 0.001,0.007,0.383,20,6,0.166667,0.166667,0.166667,
20-instance-18, 20, 9, 0.002,0.019,0.308,19,14,0.186568,0.222222,0.115,
20-instance-19, 20, 0, 0.001,0.008,0,21,0,0,0,1,
20-instance-20, 20, 9, 0.008,0.106,1.56,19,84,0.200718,0.222222,0.135,
20-instance-21, 20, 11, 0.008,0.115,1.89,17,200,0.418672,0.454545,0.235,
20-instance-22, 20, 4, 0.007,0.129,0.205,20,24,0.75,0.75,0.75,
20-instance-23, 20, 5, 0.001,0.006,0.048,20,5,0.2,0.2,0.2,
20-instance-24, 20, 10, 0.001,0.007,0.103,19,21,0.18185,0.2,0.105,
