Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
10-instance-1, 10, 0, 0.001,0.003,0,11,0,0,0,1,
10-instance-2, 10, 2, 0.001,0.005,0.209,10,2,0.499997,0.5,0.498333,
10-instance-3, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-4, 10, 0, 0,0.003,0,11,0,0,0,1,
10-instance-5, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-6, 10, 4, 0.001,0.007,0.089,10,4,0.249996,0.25,0.248571,
10-instance-7, 10, 0, 0,0.005,0,11,0,0,0,1,
10-instance-8, 10, 0, 0.001,0.003,0,11,0,0,0,1,
10-instance-9, 10, 4, 0.01,0.018,0.091,8,2,0.5,0.5,0.5,
10-instance-10, 10, 0, 0.001,0.003,0,11,0,0,0,1,
10-instance-11, 10, 3, 0.001,0.004,0.129,10,3,0.333332,0.333333,0.332308,
10-instance-12, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-13, 10, 3, 0.001,0.005,0.096,10,3,0.333332,0.333333,0.332308,
10-instance-14, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-15, 10, 0, 0.001,0.003,0,11,0,0,0,1,
10-instance-16, 10, 0, 0.001,0.009,0,11,0,0,0,1,
10-instance-17, 10, 0, 0.001,0.003,0,11,0,0,0,1,
10-instance-18, 10, 5, 0,0.005,0.098,10,5,0.2,0.2,0.2,
10-instance-19, 10, 2, 0.001,0.005,0.147,10,2,0.499997,0.5,0.498333,
10-instance-20, 10, 0, 0.001,0.003,0,11,0,0,0,1,
10-instance-21, 10, 0, 0,0.003,0,11,0,0,0,1,
10-instance-22, 10, 4, 0.002,0.004,0.075,8,2,0.5,0.5,0.5,
10-instance-23, 10, 2, 0.001,0.003,0.127,10,2,0.499997,0.5,0.498333,
10-instance-24, 10, 2, 0.002,0.004,0.134,10,2,0.499997,0.5,0.498333,
10-instance-25, 10, 4, 0.002,0.013,0.084,9,2,0.5,0.5,0.5,
10-instance-26, 10, 0, 0.001,0.001,0,11,0,0,0,1,
10-instance-27, 10, 4, 0.001,0.004,0.089,9,2,0.5,0.5,0.5,
10-instance-28, 10, 7, 0.001,0.005,0.065,7,4,0.420243,0.428571,0.332941,
10-instance-29, 10, 2, 0.001,0.002,0.126,10,2,0.499997,0.5,0.498333,
10-instance-30, 10, 0, 0,0.002,0,11,0,0,0,1,
10-instance-31, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-32, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-33, 10, 0, 0,0.002,0,11,0,0,0,1,
10-instance-34, 10, 2, 0.002,0.008,0.139,10,2,0.499997,0.5,0.498333,
10-instance-35, 10, 0, 0.001,0.001,0,11,0,0,0,1,
10-instance-36, 10, 4, 0.007,0.014,0.077,10,4,0.249996,0.25,0.248571,
10-instance-37, 10, 2, 0,0.003,0.13,10,2,0.499997,0.5,0.498333,
10-instance-38, 10, 2, 0.001,0.002,0.12,10,2,0.499997,0.5,0.498333,
10-instance-39, 10, 2, 0.001,0.003,0.15,10,2,0.499997,0.5,0.498333,
10-instance-40, 10, 3, 0.001,0.007,0.077,10,3,0.333332,0.333333,0.332308,
10-instance-41, 10, 3, 0.008,0.023,0.343,10,3,0.666667,0.666667,0.666154,
10-instance-42, 10, 0, 0.001,0.001,0,11,0,0,0,1,
10-instance-43, 10, 2, 0,0.007,0.134,10,2,0.499997,0.5,0.498333,
10-instance-44, 10, 2, 0.002,0.005,0.172,10,2,0.499997,0.5,0.498333,
10-instance-45, 10, 0, 0.001,0.001,0,11,0,0,0,1,
10-instance-46, 10, 0, 0.007,0.021,0,11,0,0,0,1,
10-instance-47, 10, 0, 0.001,0.001,0,11,0,0,0,1,
10-instance-48, 10, 0, 0.001,0.003,0,11,0,0,0,1,
10-instance-49, 10, 0, 0,0.002,0,11,0,0,0,1,
10-instance-50, 10, 3, 0,0.003,0.095,10,3,0.333332,0.333333,0.332308,
20-instance-1, 20, 6, 0.006,0.064,0.101,17,4,0.499998,0.5,0.49875,
20-instance-2, 20, 0, 0.003,0.02,0,21,0,0,0,1,
20-instance-3, 20, 0, 0.009,0.129,0,21,0,0,0,1,
20-instance-4, 20, 4, 0.002,0.006,0.069,18,2,0.5,0.5,0.5,
20-instance-5, 20, 0, 0.001,0.005,0,21,0,0,0,1,
20-instance-6, 20, 7, 0.007,0.085,0.104,18,6,0.259843,0.285714,0.197647,
20-instance-7, 20, 8, 0.002,0.007,0.054,18,5,0.353546,0.375,0.248889,
20-instance-8, 20, 8, 0.01,0.099,0.026,20,8,0.124992,0.125,0.124444,
20-instance-9, 20, 9, 0.004,0.049,0.11,16,6,0.510633,0.555556,0.284211,
20-instance-10, 20, 2, 0.002,0.012,0.155,20,2,0.499997,0.5,0.498333,
20-instance-11, 20, 2, 0.001,0.005,0.13,20,2,0.499997,0.5,0.498333,
20-instance-12, 20, 8, 0.001,0.007,0.02,18,6,0.208403,0.25,0.146667,
20-instance-13, 20, 9, 0.002,0.006,0.075,15,5,0.550317,0.555556,0.497895,
20-instance-14, 20, 6, 0.009,0.126,0.069,19,3,0.333333,0.333333,0.3325,
20-instance-15, 20, 15, 0.012,0.11,0.11,14,4,0.505237,0.533333,0.332,
20-instance-16, 20, 0, 0.008,0.101,0,21,0,0,0,1,
20-instance-17, 20, 6, 0.001,0.006,0.021,20,6,0.166658,0.166667,0.165,
20-instance-18, 20, 9, 0.001,0.022,0.128,19,8,0.188705,0.222222,0.142105,
20-instance-19, 20, 0, 0.001,0.004,0,21,0,0,0,1,
20-instance-20, 20, 9, 0.009,0.1,0.12,19,6,0.209978,0.222222,0.165789,
20-instance-21, 20, 11, 0.01,0.114,0.755,17,8,0.426853,0.454545,0.33,
20-instance-22, 20, 4, 0.009,0.124,0.49,20,4,0.749999,0.75,0.748571,
20-instance-23, 20, 5, 0.001,0.007,0.071,20,5,0.2,0.2,0.2,
20-instance-24, 20, 10, 0.001,0.005,0.147,19,9,0.184181,0.2,0.14,
20-instance-25, 20, 0, 0.002,0.02,0,21,0,0,0,1,
20-instance-26, 20, 10, 0.004,0.065,0.19,18,5,0.397209,0.4,0.375,
20-instance-27, 20, 0, 0.001,0.009,0,21,0,0,0,1,
20-instance-28, 20, 11, 0.003,0.017,0.095,17,8,0.197115,0.272727,0.120476,
20-instance-29, 20, 6, 0.009,0.136,0.202,19,5,0.333332,0.333333,0.33125,
20-instance-30, 20, 8, 0.009,0.136,0.144,18,7,0.242227,0.25,0.2,
20-instance-31, 20, 5, 0.001,0.014,0.383,19,4,0.594201,0.6,0.5,
20-instance-32, 20, 10, 0.007,0.096,0.157,16,8,0.344731,0.4,0.2,
20-instance-33, 20, 0, 0.001,0.006,0,21,0,0,0,1,
20-instance-34, 20, 0, 0.001,0.007,0,21,0,0,0,1,
20-instance-35, 20, 8, 0.002,0.029,0.142,16,7,0.374995,0.375,0.373333,
20-instance-36, 20, 3, 0.003,0.022,0.095,20,3,0.333332,0.333333,0.332308,
20-instance-37, 20, 5, 0.009,0.119,0.083,20,5,0.2,0.2,0.2,
20-instance-38, 20, 5, 0.001,0.008,0.091,20,5,0.2,0.2,0.2,
20-instance-39, 20, 0, 0.001,0.022,0,21,0,0,0,1,
20-instance-40, 20, 9, 0.004,0.042,0.299,17,6,0.436785,0.444444,0.331579,
20-instance-41, 20, 7, 0.003,0.021,0.202,18,7,0.428571,0.428571,0.428235,
20-instance-42, 20, 5, 0.008,0.053,0.414,18,4,0.594201,0.6,0.5,
20-instance-43, 20, 8, 0.009,0.103,0.137,17,7,0.484455,0.5,0.4,
20-instance-44, 20, 5, 0.007,0.043,0.39,18,4,0.594201,0.6,0.5,
20-instance-45, 20, 11, 0.007,0.09,0.311,17,9,0.38568,0.454545,0.199048,
20-instance-46, 20, 6, 0.001,0.008,0.02,20,6,0.166658,0.166667,0.165,
20-instance-47, 20, 8, 0.01,0.138,0.15,17,4,0.612368,0.625,0.497778,
20-instance-48, 20, 2, 0.007,0.047,0.135,20,2,0.499997,0.5,0.498333,
20-instance-49, 20, 2, 0.001,0.004,0.133,20,2,0.499997,0.5,0.498333,
20-instance-50, 20, 3, 0.014,0.192,0.297,20,3,0.666665,0.666667,0.664615,
30-instance-1, 30, 7, 0.01,0.242,0.132,26,5,0.565605,0.571429,0.498235,
30-instance-2, 30, 8, 0.001,0.034,0.143,29,5,0.433006,0.5,0.248889,
30-instance-3, 30, 7, 0.002,0.011,0.051,28,6,0.259843,0.285714,0.197647,
30-instance-4, 30, 0, 0.009,0.153,0,31,0,0,0,1,
30-instance-5, 30, 15, 0.008,0.037,0.037,30,15,0.0666449,0.0666667,0.066,
30-instance-6, 30, 10, 0.011,0.102,0.182,26,8,0.560015,0.6,0.33,
30-instance-7, 30, 2, 0.001,0.011,0.126,30,2,0.499997,0.5,0.498333,
30-instance-8, 30, 8, 0.008,0.169,0.024,30,8,0.124992,0.125,0.124444,
30-instance-9, 30, 15, 0.011,0.202,0.353,26,10,0.215584,0.266667,0.132,
30-instance-10, 30, 13, 0.003,0.045,0.403,25,9,0.267789,0.307692,0.146957,
30-instance-11, 30, 4, 0.002,0.021,0.369,30,4,0.749999,0.75,0.748571,
30-instance-12, 30, 17, 0.01,0.053,0.283,26,12,0.126102,0.176471,0.0692593,
30-instance-13, 30, 5, 0.007,0.104,0.417,29,4,0.392026,0.4,0.333333,
30-instance-14, 30, 14, 0.009,0.147,0.331,26,13,0.141376,0.142857,0.1225,
30-instance-15, 30, 9, 0.021,0.273,0.205,29,8,0.209978,0.222222,0.165789,
30-instance-16, 30, 0, 0.013,0.33,0,31,0,0,0,1,
30-instance-17, 30, 3, 0.002,0.027,0.366,30,3,0.666665,0.666667,0.664615,
30-instance-18, 30, 13, 0.009,0.202,0.254,26,10,0.4449,0.538462,0.197826,
30-instance-19, 30, 21, 0.016,0.226,0.76,24,12,0.20407,0.285714,0.108387,
30-instance-20, 30, 7, 0.008,0.097,0.096,28,6,0.259843,0.285714,0.197647,
30-instance-21, 30, 4, 0.002,0.009,0.078,28,2,0.5,0.5,0.5,
30-instance-22, 30, 17, 0.011,0.196,0.369,26,14,0.131361,0.176471,0.0818519,
30-instance-23, 30, 11, 0.014,0.211,0.232,24,7,0.523539,0.545455,0.398095,
30-instance-24, 30, 13, 0.015,0.28,0.244,23,7,0.369905,0.384615,0.282609,
30-instance-25, 30, 15, 0.011,0.238,0.285,26,12,0.161536,0.2,0.102,
30-instance-26, 30, 6, 0.01,0.077,0.022,30,6,0.166658,0.166667,0.165,
30-instance-27, 30, 14, 0.015,0.284,0.454,23,6,0.347134,0.357143,0.2975,
30-instance-28, 30, 5, 0.004,0.08,0.26,29,4,0.594201,0.6,0.5,
30-instance-29, 30, 9, 0.008,0.064,0.072,26,3,0.666664,0.666667,0.664211,
30-instance-30, 30, 3, 0.002,0.039,0.091,30,3,0.333332,0.333333,0.332308,
30-instance-31, 30, 6, 0.01,0.247,0.108,29,4,0.499998,0.5,0.49875,
30-instance-32, 30, 11, 0.003,0.075,0.281,26,6,0.403188,0.454545,0.248571,
30-instance-33, 30, 12, 0.009,0.219,0.535,28,10,0.232984,0.25,0.196364,
30-instance-34, 30, 14, 0.011,0.158,0.544,26,13,0.210108,0.214286,0.163333,
30-instance-35, 30, 10, 0.009,0.17,0.225,28,9,0.184181,0.2,0.14,
30-instance-36, 30, 6, 0.008,0.136,0.093,28,4,0.648315,0.666667,0.43375,
30-instance-37, 30, 7, 0.012,0.22,0.161,29,6,0.2828,0.285714,0.247059,
30-instance-38, 30, 3, 0.01,0.181,0.097,30,3,0.333332,0.333333,0.332308,
30-instance-39, 30, 7, 0.01,0.191,0.204,28,7,0.428571,0.428571,0.428235,
30-instance-40, 30, 0, 0.009,0.136,0,31,0,0,0,1,
30-instance-41, 30, 12, 0.014,0.294,0.421,23,10,0.577346,0.583333,0.496364,
30-instance-42, 30, 13, 0.018,0.372,0.703,25,12,0.30768,0.307692,0.305217,
30-instance-43, 30, 7, 0.011,0.277,0.026,30,7,0.142845,0.142857,0.14,
30-instance-44, 30, 9, 0.013,0.345,0.395,27,8,0.300525,0.333333,0.198947,
30-instance-45, 30, 8, 0.003,0.017,0.115,26,5,0.368893,0.375,0.333333,
30-instance-46, 30, 21, 0.012,0.187,0.676,21,14,0.232764,0.333333,0.12871,
30-instance-47, 30, 17, 0.02,0.198,0.495,25,12,0.175824,0.176471,0.163704,
30-instance-48, 30, 9, 0.011,0.228,0.316,27,7,0.523036,0.555556,0.331579,
30-instance-49, 30, 14, 0.01,0.171,0.232,28,8,0.142832,0.142857,0.14,
30-instance-50, 30, 4, 0.004,0.057,0.279,28,2,0.5,0.5,0.5,
40-instance-1, 40, 15, 0.013,0.116,0.472,34,12,0.237382,0.266667,0.162,
40-instance-2, 40, 7, 0.003,0.106,0.309,39,6,0.71308,0.714286,0.665882,
40-instance-3, 40, 9, 0.015,0.376,0.275,35,5,0.553295,0.555556,0.497895,
40-instance-4, 40, 17, 0.022,0.459,0.861,31,15,0.308138,0.352941,0.195185,
40-instance-5, 40, 11, 0.025,0.507,0.927,36,9,0.817974,0.818182,0.79619,
40-instance-6, 40, 4, 0.01,0.226,0.083,40,4,0.249996,0.25,0.248571,
40-instance-7, 40, 3, 0.015,0.385,0.384,40,3,0.666667,0.666667,0.666154,
40-instance-8, 40, 27, 0.016,0.33,3.014,26,20,0.246798,0.296296,0.116757,
40-instance-9, 40, 11, 0.003,0.081,0.218,35,7,0.433498,0.454545,0.33,
40-instance-10, 40, 10, 0.013,0.162,0.212,35,4,0.39202,0.4,0.33,
40-instance-11, 40, 12, 0.019,0.395,0.221,34,8,0.464638,0.5,0.3,
40-instance-12, 40, 17, 0.014,0.359,0.537,32,14,0.330709,0.411765,0.138519,
40-instance-13, 40, 11, 0.012,0.271,0.274,32,6,0.539106,0.545455,0.445714,
40-instance-14, 40, 13, 0.014,0.443,0.427,34,13,0.23076,0.230769,0.226087,
40-instance-15, 40, 18, 0.019,0.393,0.815,31,12,0.250795,0.277778,0.173571,
40-instance-16, 40, 18, 0.016,0.375,0.507,31,15,0.283043,0.333333,0.212143,
40-instance-17, 40, 23, 0.019,0.439,0.521,31,15,0.156167,0.217391,0.0627273,
40-instance-18, 40, 11, 0.015,0.243,0.198,34,7,0.38568,0.454545,0.199048,
40-instance-19, 40, 14, 0.02,0.422,0.303,31,9,0.414065,0.428571,0.361667,
40-instance-20, 40, 0, 0.013,0.125,0,41,0,0,0,1,
40-instance-21, 40, 19, 0.019,0.334,0.679,28,15,0.392784,0.421053,0.303918,
40-instance-22, 40, 8, 0.009,0.079,0.144,36,5,0.478395,0.5,0.333333,
40-instance-23, 40, 19, 0.015,0.477,0.933,32,15,0.414223,0.473684,0.176897,
40-instance-24, 40, 13, 0.003,0.043,0.257,37,11,0.205752,0.230769,0.141304,
40-instance-25, 40, 5, 0.013,0.393,0.287,39,4,0.392026,0.4,0.333333,
40-instance-26, 40, 9, 0.01,0.276,0.467,38,8,0.477061,0.555556,0.246842,
40-instance-27, 40, 20, 0.013,0.209,0.523,31,13,0.20799,0.25,0.14,
40-instance-28, 40, 9, 0.012,0.257,0.184,36,7,0.649184,0.666667,0.497895,
40-instance-29, 40, 18, 0.023,0.395,1.035,30,15,0.374903,0.388889,0.289286,
40-instance-30, 40, 21, 0.028,0.464,1.736,27,19,0.370169,0.380952,0.298065,
40-instance-31, 40, 17, 0.019,0.438,0.732,33,16,0.175824,0.176471,0.163704,
40-instance-32, 40, 20, 0.024,0.512,1.074,29,15,0.589889,0.6,0.446667,
40-instance-33, 40, 19, 0.016,0.36,0.861,28,14,0.298306,0.315789,0.196552,
40-instance-34, 40, 18, 0.023,0.576,0.875,35,15,0.28234,0.388889,0.141429,
40-instance-35, 40, 14, 0.01,0.279,0.361,32,11,0.400128,0.428571,0.268333,
40-instance-36, 40, 17, 0.015,0.315,0.346,34,12,0.200968,0.235294,0.113333,
40-instance-37, 40, 18, 0.015,0.436,0.531,32,11,0.311568,0.388889,0.154286,
40-instance-38, 40, 23, 0.02,0.403,1.234,29,15,0.31673,0.391304,0.181212,
40-instance-39, 40, 4, 0.001,0.019,0.078,40,4,0.249996,0.25,0.248571,
40-instance-40, 40, 11, 0.008,0.185,0.366,34,9,0.435416,0.454545,0.33,
40-instance-41, 40, 2, 0.017,0.332,0.139,40,2,0.499997,0.5,0.498333,
40-instance-42, 40, 16, 0.012,0.347,0.644,32,11,0.482209,0.5,0.387692,
